업체명,지점명,성별전용,보증금,월세,인실
Sally's House,강남 서초파라곤 D룸,여성전용,100만원,35만원,2인실
강남 베타쉐어하우스,강남역점,여성전용,120만원,42만원,2인실
Sally's House,강남역점,여성전용,100만원,32만원,2인실
복덕방,역삼2호점,여성전용,47만원,47만원,1인실
순 스테이,구로디지털단지 1호점,여성전용,90만원,40만원,1인실
순 스테이,구로디지털단지 2호점,여성전용,90만원,39만원,1인실
복덕방,역삼1호점,여성전용,53만원,53만원,1인실
쉐어하우스 루트,방배점,여성전용,80만원,38만원,2인실
동화,구디점,여성전용,100만원,25만원,1인실
달달 쉐어하우스,삼성중앙역점,여성전용,82만원,41만원,2인실
피리하우스,낙성대점,여성전용,74만원,37만원,2인실
양드레하우스,교대점,여성전용,100만원,52만원,1인실
잠자리,구로디지털단지 : 13호점,남성전용,100만원,50만원,1인실
바다유,2호 삼성중앙역점,여성전용,70만원,38만원,2인실
채움 쉐어하우스,교대/강남역 1호점,여성전용,100만원,39만원,2인실
채움 쉐어하우스,강남역 2호점,여성전용,80만원,29만원,2인실
우주,42호점,남성전용,97만원,40만원,1인실
우주,43호점,여성전용,96만원,40만원,2인실
바다,구디(구로디지털)집 C Room,여성전용,80만원,40만원,2인실
오아시스 쉐어하우스,낙성대역 4호점,여성전용,150만원,35만원,2인실
오아시스 쉐어하우스,낙성대역점,여성전용,150만원,36만원,2인실
오아시스 쉐어하우스,낙성대역 3호점,여성전용,150만원,35만원,2인실
동네친구,11호점,여성전용,300만원,45만원,2인실
청청,구디역점,남성전용,100만원,40만원,1인실
슈니하우스,삼성중앙역점,여성전용,106만원,53만원,1인실
팸하우스,사당점,여성전용,100만원,31만원,4인실
잠자리,구로디지털단지 : 7호점,여성전용,76만원,38만원,2인실
연남0123/사당0123,사당0123 1인실B,여성전용,80만원,43만원,1인실
동거동락,28B 방배점,여성전용,119만원,51만원,1인실
벽난로 쉐어하우스,강남코엑스점,남성전용,80만원,40만원,2인실
가가호호 쉐어하우스,관악점,남성전용,80만원,38만원,1인실
자몽 셰어하우스,고척동점,여성전용,300만원,30만원,1인실
쉐어하우스 소소한,서초 1호점,여성전용,100만원,51만원,2인실
쉐어하우스 withsomething,역삼점,남성전용,180만원,65만원,1인실
Sharehouse Cine,더 우드 건대점,여성전용,70만원,33만원,3인실
레미하우스,강남점,여성전용,100만원,43만원,2인실
잠자리,신림 대학동 : 21호점,남성전용,84만원,42만원,1인실
복덕방,강남세브란스점,여성전용,100만원,56만원,1인실
Sally's House,선릉역점,여성전용,100만원,25만원,4인실
복덕방,세브란스사거리점,여성전용,124만원,62만원,1인실
복덕방,대치동 선릉역점,여성전용,100만원,45만원,2인실
다락,블랑하우스 Room B,남성전용,50만원,32만원,2인실
동그라미 쉐어하우스,선릉점,남성전용,50만원,32만원,1인실
앤스테이블,대치 402-1호,남성전용,4000만원,41만원,1인실
쉐어필링스,선릉역지점,여성전용,100만원,52만원,1인실
팸하우스,가산디지털단지점,여성전용,100만원,38만원,2인실
팸하우스,양재점,여성전용,100만원,42만원,2인실
팸하우스,매봉1호점,여성전용,100만원,30만원,2인실
팸하우스,매봉 2호점,여성전용,100만원,33만원,2인실
부천 이야기쉐어하우스,1호 고강점,남성전용,100만원,35만원,1인실
양재역 쉐어하우스,양재역점,여성전용,100만원,45만원,2인실
라다팰리스,사회적주택(개봉동) 201호-2,성별무관,300만원,28만원,1인실
우주,74호점,남성전용,126만원,55만원,1인실
Calm&Mood,온수 17호점,여성전용,100만원,36만원,1인실
동그라미 쉐어하우스,개포점,남성전용,50만원,38만원,1인실
부천 이야기쉐어하우스,2호 원종점,여성전용,50만원,28만원,2인실
모니카 하우스,잠실2호점,여성전용,100만원,53만원,1인실
썸앤썸 쉐어하우스,삼전점,남성전용,100만원,45만원,1인실
모니카 하우스,잠실역점,여성전용,100만원,55만원,1인실
로이허브,천호점,여성전용,40만원,40만원,3인실
모니카 하우스,잠실3호점,여성전용,100만원,50만원,1인실
바다,암사동집 : 1층 102호,여성전용,100만원,37만원,1인실
모던 하우스,암사역점,여성전용,200만원,34만원,1인실
바다,암사동집 : 2층 202호,여성전용,100만원,37만원,1인실
모던 하우스,천호점,여성전용,200만원,34만원,1인실
양드레하우스,송파점,여성전용,100만원,51만원,1인실
모니카 하우스,잠실4호점,여성전용,100만원,60만원,1인실
몽리(MONLIT),석촌점,여성전용,100만원,45만원,2인실
원앤원하우스,강동역 2호점,여성전용,200만원,35만원,3인실
스테이서울,하우스메이트 Room B,성별무관,50만원,50만원,1인실
Sharehouse Cine,오금역점,여성전용,80만원,38만원,2인실
쉐어하우스 cloud9,킨텍스 대화역점,여성전용,150만원,40만원,1인실
Blessing House,대화 킨텍스점,여성전용,80만원,39만원,1인실
쉐어하우스 잎,부천역점,성별무관,70만원,35만원,1인실
플래닛디 하우스,플래닛디 하우스 2인실 싱글침대,여성전용,70만원,35만원,2인실
공감,부평 굴포천역 2호점,여성전용,70만원,35만원,1인실
공감,부평시장역점,여성전용,70만원,35만원,1인실
로라 쉐어하우스,부평구청역점,여성전용,80만원,33만원,1인실
라떼의꿈 쉐어하우스,부평점,여성전용,80만원,30만원,2인실
로라 쉐어하우스,부평시장역점,여성전용,80만원,35만원,1인실
레몬트리 하우스,간석오거리점,여성전용,50만원,32만원,1인실
잠자리,주안역 : 18호점,여성전용,54만원,27만원,2인실
쉐어하우스 봄,주안 1호점,여성전용,64만원,27만원,3인실
베프 쉐어하우스,주안역점,여성전용,60만원,30만원,1인실
레몬,1호점,여성전용,56만원,28만원,2인실
인타운 하우스,인천대점,여성전용,100만원,35만원,1인실
세계로 하우스,종로부암점,성별무관,35만원,38만원,2인실
블랑 쉐어하우스,홍제점,여성전용,80만원,34만원,2인실
다락,홍오하우스 Room E,성별무관,50만원,36만원,1인실
우주,89호점,여성전용,90만원,37만원,3인실
곰 쉐어하우스,홍제점,여성전용,100만원,33만원,2인실
다락,홍원하우스 Room B,남성전용,50만원,31만원,2인실
쏠 쉐어하우스,연신내점,남성전용,50만원,23만원,4인실
다락,헤븐하우스 안락한 1인실,성별무관,50만원,41만원,1인실
Calm&Mood,홍제 18호점,여성전용,100만원,43만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
블랑 쉐어하우스,응암점,여성전용,100만원,45만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,200만원,43만원,1인실
코코빌,하우스메이트 Room C,여성전용,56만원,32만원,1인실
미소 쉐어하우스,광화문점,여성전용,100만원,55만원,1인실
이너프하우스,혜화 6호점,여성전용,100만원,52만원,1인실
플레몬 쉐어하우스,29호점,성별무관,50만원,39만원,1인실
슬리퍼 쉐어하우스,한성대점,여성전용,84만원,37만원,2인실
동거동락,33A호점,남성전용,102만원,43만원,1인실
동거동락,33B호점,여성전용,105만원,44만원,1인실
따또 쉐어하우스,연희점,여성전용,100만원,49만원,1인실
CNT홈셰어링,1호점,여성전용,100만원,54만원,1인실
CNT홈셰어링,5호점,여성전용,100만원,52만원,1인실
CNT홈셰어링,2호점,여성전용,100만원,39만원,2인실
CNT홈셰어링,3호점,여성전용,100만원,38만원,2인실
CNT홈셰어링,4호점,여성전용,100만원,55만원,1인실
우주,70호점,남성전용,90만원,37만원,1인실
자몽 셰어하우스,한성대성북점,남성전용,100만원,28만원,1인실
MK코하우징,연희점,여성전용,50만원,50만원,1인실
공상가,연세 1호점,성별무관,114만원,57만원,1인실
위아영 쉐어하우스,아현점,여성전용,100만원,50만원,1인실
아띠 쉐어빌리지,팝 하우스 충정로점,남성전용,50만원,31만원,2인실
공상가,연세 2호점,여성전용,108만원,54만원,1인실
홈스케치,아현2호점,여성전용,90만원,45만원,1인실
Calm&Mood,연희 1호점,여성전용,100만원,34만원,2인실
플레몬 쉐어하우스,13호점,성별무관,50만원,42만원,1인실
UrbanShares,OneNam206 E2~E3,성별무관,100만원,58만원,2인실
잇츠하우스,이대점,여성전용,100만원,35만원,3인실
UrbanShares,1stHQ HQ402,여성전용,100만원,50만원,1인실
핀휠 쉐어하우스,이대3호점,여성전용,80만원,33만원,3인실
핀휠 쉐어하우스,연대 1호점,여성전용,80만원,33만원,3인실
핀휠 쉐어하우스,이대1호점,여성전용,90만원,43만원,1인실
핀휠 쉐어하우스,이대2호점,남성전용,80만원,33만원,3인실
핀휠 쉐어하우스,신도림점,남성전용,80만원,33만원,3인실
핀휠 쉐어하우스,이대4호점,여성전용,80만원,32만원,3인실
마주봄 쉐어하우스,혜화 6호점,여성전용,100만원,50만원,1인실
바다,연남동 : 1호 C Room,여성전용,104만원,52만원,1인실
러브앤피스 쉐어하우스,아현점,여성전용,100만원,48만원,1인실
우주,50호점,남성전용,93만원,39만원,2인실
서로가 쉐어하우스,충정로점,여성전용,50만원,50만원,1인실
우주,92호점,여성전용,92만원,38만원,2인실
Calm&Mood,혜화 20호점,여성전용,200만원,49만원,1인실
로이쉐어하우스,연남동점,여성전용,55만원,55만원,1인실
동화,홍대점,여성전용,68만원,65만원,3인실
달램쉐어하우스,홍대입구점,여성전용,600만원,29만원,1인실
잠자리,정릉역 : 21호점,여성전용,80만원,35만원,2인실
동거동락,3호 연세대점,여성전용,108만원,52만원,1인실
자몽 셰어하우스,대학로점,여성전용,300만원,30만원,2인실
쉐어하우스 보통,아현 3호점,여성전용,106만원,51만원,1인실
쉐어하우스 보통,아현점,여성전용,90만원,45만원,2인실
쉐어하우스 보통,아현 2호점,여성전용,70만원,35만원,3인실
세이프헤븐,DMC점,여성전용,100만원,45만원,1인실
오후3시 쉐어하우스,홍대점,남성전용,100만원,37만원,1인실
에덴 하우스,홍대점,여성전용,70만원,35만원,2인실
코지 쉐어하우스,홍대입구역점,여성전용,76만원,38만원,2인실
바다,상암동 집 Room D,여성전용,112만원,56만원,1인실
다락,허밍하우스 편안한2인실,성별무관,50만원,29만원,2인실
굿밤하우스,홍대입구점,여성전용,5만원,23만원,1인실
팸하우스,홍대입구점,여성전용,100만원,46만원,1인실
프렌즈,연남점,여성전용,90만원,45만원,2인실
(남성전용) 청춘시대,2호점,남성전용,33만원,33만원,4인실
자다,메이플 성신여대점,여성전용,70만원,35만원,2인실
아이엠하우스,홍대 2호점,여성전용,80만원,42만원,2인실
피클하우스,피클하우스 2번방,성별무관,50만원,50만원,1인실
우주,94호점,남성전용,94만원,39만원,1인실
우주,93호점,여성전용,100만원,42만원,1인실
우주,95호점,여성전용,104만원,44만원,1인실
동거동락,26호 연남동점,여성전용,117만원,49만원,1인실
플레몬 쉐어하우스,1호점,성별무관,50만원,35만원,1인실
피츠 쉐어하우스,연남동 2호점,여성전용,35만원,35만원,2인실
잠자리,성신여대 : 5호점,여성전용,90만원,45만원,1인실
커먼타운,센트럴 261 207,남성전용,300만원,58만원,1인실
잠자리,성신여대 : 9호점,여성전용,76만원,38만원,2인실
우주,62호점,여성전용,96만원,40만원,2인실
홈스케치,홍대2호점,성별무관,90만원,45만원,1인실
홈스케치,성신여대점,성별무관,90만원,45만원,1인실
I&U 쉐어하우스,홍대점,여성전용,100만원,28만원,3인실
핀휠 쉐어하우스,신촌점,여성전용,80만원,33만원,2인실
코방,길음역점,여성전용,110만원,52만원,1인실
원앤원하우스,길음역국민대_서경대점,여성전용,200만원,30만원,4인실
젤리 쉐어하우스,이대점,여성전용,600만원,29만원,2인실
호영이네 하우스,창신역점,여성전용,90만원,43만원,2인실
하늘,수유역2호점,여성전용,50만원,45만원,1인실
우주,12호점,여성전용,87만원,36만원,3인실
오희,고양점,여성전용,100만원,35만원,2인실
리어반(Re:Urban),홍대점,여성전용,40만원,35만원,2인실
사람앤하우스,미아점,여성전용,66만원,33만원,3인실
웨이브 쉐어하우스,홍대 1호점,여성전용,34만원,34만원,3인실
폼폼 쉐어하우스,돈암풍림점,여성전용,80만원,40만원,2인실
이실디,홍대점,여성전용,70만원,35만원,3인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
홈스케치,서강대점,남성전용,70만원,30만원,2인실
하모하우스,서강대점,남성전용,100만원,35만원,2인실
하모하우스,서강대점,여성전용,100만원,42만원,2인실
나인,홍대점,여성전용,100만원,40만원,1인실
핀휠 쉐어하우스,신촌1호점,남성전용,90만원,43만원,1인실
은행나무 쉐어하우스,홍대점,여성전용,0만원,40만원,2인실
Calm&Mood,숙대두번째 16호점,여성전용,100만원,42만원,1인실
핀휠 쉐어하우스,홍대/망원점,여성전용,80만원,31만원,3인실
홈트리,성산점,여성전용,60만원,29만원,3인실
홈스케치,숙대점,여성전용,35만원,70만원,1인실
팸하우스,충무로점,여성전용,100만원,45만원,2인실
바다,성산동집 202호,성별무관,100만원,49만원,1인실
쉐어하우스 휴가,공덕역점,여성전용,105만원,55만원,1인실
제곱하우스,2호점,여성전용,100만원,41만원,2인실
자다,메리골드 후암2호점,여성전용,104만원,52만원,1인실
소집,1호점,여성전용,78만원,39만원,2인실
소집,2호점,여성전용,78만원,39만원,3인실
모아네 쉐어하우스,마포구청역점,여성전용,58만원,51만원,1인실
소집,3호점,여성전용,78만원,39만원,3인실
팸하우스,페퍼스하우스 충무로 5호점,여성전용,100만원,47만원,2인실
팸하우스,동대입구 4호점,여성전용,100만원,45만원,2인실
사람앤하우스,동묘점,여성전용,88만원,44만원,3인실
쉐어하우스 신,공덕점,여성전용,108만원,54만원,1인실
바다,합정동집 2호 Room C (1인실),여성전용,110만원,55만원,1인실
일가 쉐어하우스,망원일가2-마포구청 103-2인실,여성전용,100만원,36만원,2인실
어울림,망원1호점,여성전용,100만원,47만원,1인실
팸하우스,동대입구 1호점,남성전용,100만원,35만원,2인실
Calm&Mood,숙대세번째 19호점,여성전용,100만원,44만원,1인실
일가 쉐어하우스,4호점,여성전용,150만원,53만원,1인실
포레스트(FOR REST),공덕역점,여성전용,96만원,43만원,2인실
일가 쉐어하우스,3호점,여성전용,159만원,53만원,1인실
어울림,합정4호점,여성전용,100만원,55만원,1인실
코코쉐어하우스,효창동점,여성전용,100만원,30만원,4인실
동화,피클 공덕2호점,여성전용,50만원,29만원,2인실
어울림,합정2호점,여성전용,100만원,35만원,2인실
공감,광흥창역점,남성전용,100만원,50만원,2인실
폼폼 쉐어하우스,망원점,여성전용,80만원,40만원,2인실
메리골드 셰어하우스,망원역점,여성전용,40만원,35만원,2인실
브로콜리 하우스,망원 1호점,남성전용,50만원,45만원,1인실
팸하우스,상수점,여성전용,100만원,38만원,2인실
바운드쉐어,망원한강점,여성전용,100만원,40만원,3인실
코잠,7호점,여성전용,68만원,34만원,3인실
바운드쉐어,망원중앙점,여성전용,100만원,49만원,1인실
잠자리,마포구청 : 8호점,여성전용,70만원,35만원,2인실
일가 쉐어하우스,망원일가 Room 101,여성전용,153만원,51만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,55만원,1인실
우주,73호점,여성전용,96만원,40만원,2인실
폼폼 쉐어하우스,합정점,여성전용,80만원,40만원,2인실
CS 쉐어하우스,합정점,여성전용,100만원,51만원,1인실
청년 쉐어하우스,합정점,남성전용,35만원,35만원,2인실
젤리 쉐어하우스,망원점,여성전용,600만원,29만원,2인실
(남성전용) 청춘시대,1호점,남성전용,29만원,29만원,4인실
동거동락,34호점,여성전용,108만원,44만원,1인실
꽃송이가家,망원합정점,여성전용,80만원,39만원,2인실
꼬므,합정역 : 2호점,여성전용,80만원,40만원,2인실
우주,23호점,여성전용,70만원,35만원,4인실
워크 앤 리브,이태원 2호점,여성전용,114만원,49만원,1인실
워크 앤 리브,이태원 1호점,여성전용,120만원,52만원,1인실
우주,88호점,여성전용,120만원,52만원,1인실
원앤원하우스,월곡역동덕여대점,여성전용,150만원,33만원,3인실
하늘,고대 1호점,여성전용,50만원,40만원,1인실
하늘,월곡역점,여성전용,50만원,35만원,2인실
우주,48호점,여성전용,92만원,38만원,2인실
우주,49호점,여성전용,92만원,38만원,2인실
플레몬 쉐어하우스,14호점,여성전용,30만원,35만원,2인실
하늘,고대 2호점,여성전용,50만원,45만원,1인실
휴플러스,고대점,여성전용,100만원,45만원,1인실
쉐어하우스 하루,고려대점,여성전용,34만원,34만원,3인실
마주봄 쉐어하우스,고대 7호점,여성전용,100만원,47만원,1인실
하늘,상월곡점,여성전용,50만원,45만원,1인실
잠자리,신금호 : 10호점,여성전용,66만원,33만원,2인실
젤리 쉐어하우스,왕십리점,여성전용,600만원,42만원,1인실
We Live,당산 2호점,여성전용,100만원,32만원,2인실
자다,패밀리 한남점,여성전용,64만원,32만원,3인실
서울쉐어하우스 공주,여의도점,여성전용,74만원,37만원,2인실
우리별 포디하우스,한남별 룸2(1인실),여성전용,100만원,38만원,1인실
We Live,당산점,여성전용,100만원,48만원,1인실
마루 쉐어하우스,왕십리역점,여성전용,110만원,55만원,1인실
쉐어하우스 청춘愛(애),여의도점,여성전용,100만원,45만원,2인실
쉐어하우스 고리,광운대점,여성전용,64만원,32만원,2인실
쉐어하우스 방긋,회기역점,여성전용,150만원,35만원,2인실
원앤원하우스,경희대_외대점,여성전용,150만원,49만원,1인실
자몽 셰어하우스,노량진점,여성전용,300만원,32만원,2인실
쉐어필링스,노량진역 2인실,여성전용,150만원,32만원,2인실
슬리퍼 쉐어하우스,신이문점,여성전용,104만원,47만원,1인실
뜰 쉐어하우스,영등포점,여성전용,70만원,37만원,3인실
우주,58호점,여성전용,104만원,44만원,2인실
우주,80호점,여성전용,92만원,38만원,2인실
동거동락,1호 중앙대점,여성전용,78만원,36만원,3인실
에덴 하우스,목동 염창역점,여성전용,50만원,25만원,3인실
별자리 쉐어하우스,장승배기점,남성전용,100만원,35만원,2인실
잠자리,영등포구청 : 11호점,여성전용,66만원,33만원,2인실
단담하우스,중앙대점,여성전용,80만원,40만원,4인실
잠자리,영등포구청 : 17호점,남성전용,90만원,45만원,1인실
푸른언덕,중앙대점,여성전용,100만원,45만원,2인실
홈스케치,외대3호점,여성전용,96만원,48만원,1인실
커먼타운,압구정 022 Room E,여성전용,300만원,59만원,2인실
바다,외대 앞 집 Room C (2인실),여성전용,76만원,38만원,2인실
수니하우스,뚝섬역점,여성전용,100만원,49만원,1인실
Dream 쉐어하우스,영등포점,여성전용,90만원,45만원,1인실
우리별 포디하우스,등촌역점,여성전용,100만원,28만원,2인실
팸하우스,뚝섬점,남성전용,100만원,37만원,2인실
룸앤,상도점,여성전용,66만원,33만원,2인실
바다,문래동집 2호 Room C,여성전용,104만원,52만원,1인실
JustChill7 쉐어하우스,신사점,성별무관,65만원,50만원,2인실
다락,주아하우스 #2 belle,성별무관,50만원,35만원,1인실
슬리퍼 쉐어하우스,숭실점,여성전용,80만원,35만원,2인실
세이프헤븐,상도점,여성전용,100만원,34만원,1인실
스펙트럼 하우스,신사점,여성전용,132만원,56만원,1인실
스펙트럼 하우스,신사점,여성전용,160만원,70만원,1인실
여기쯤 쉐어하우스,여기쯤 신사1호점,여성전용,80만원,34만원,2인실
쉐어하우스 더뮤즈,신사역 가로수길점,여성전용,76만원,38만원,3인실
율 하우스,문래점,여성전용,98만원,49만원,1인실
우주,46호점,여성전용,102만원,43만원,2인실
우주,44호점,남성전용,85만원,34만원,2인실
우주,37호점,여성전용,74만원,29만원,3인실
우주,38호점,여성전용,96만원,40만원,2인실
낭만,양천향교역점,남성전용,114만원,38만원,1인실
여기쯤 쉐어하우스,여기쯤 신사3호점,여성전용,80만원,29만원,2인실
가로수 쉐어하우스,신사역점,여성전용,120만원,48만원,1인실
륜하우스,마곡점,여성전용,70만원,40만원,1인실
륜하우스,양천향교점,여성전용,70만원,33만원,2인실
Singles ( 싱글즈 ),신사점,여성전용,80만원,39만원,4인실
우주,96호점,여성전용,112만원,48만원,1인실
쉐어하우스 까사,숭실대점,여성전용,80만원,40만원,2인실
쉐어하우스 까사,숭실대2호점,여성전용,80만원,40만원,2인실
로뎀나무,Joy하우스 논현점,여성전용,110만원,49만원,1인실
소행주 특집,장안동점,여성전용,150만원,36만원,1인실
복덕방,논현2호점,여성전용,80만원,42만원,2인실
MOVHOUSE,논현2호점,여성전용,100만원,45만원,2인실
선녀방,신대방점,여성전용,110만원,55만원,1인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
자몽 셰어하우스,상도점,여성전용,300만원,35만원,1인실
에이블하우스,성수 2호점,여성전용,300만원,42만원,2인실
쉐어하우스 여행가,관악점,여성전용,100만원,52만원,1인실
쉐어반,논현역점,여성전용,110만원,55만원,1인실
MOVHOUSE,논현점,여성전용,100만원,52만원,1인실
잠자리,논현역 : 26호점,여성전용,98만원,49만원,1인실
LUMOS HOUSE,논현1호점,여성전용,100만원,59만원,1인실
테라스107,테라스107 Room 5,여성전용,70만원,70만원,1인실
복덕방,논현1호점,여성전용,120만원,56만원,1인실
강남다방 쉐어하우스,신논현점,여성전용,100만원,36만원,2인실
륜하우스,발산역점,여성전용,70만원,33만원,2인실
복덕방,학동역1호점,여성전용,50만원,33만원,2인실
동그라미 쉐어하우스,논현2호점,남성전용,50만원,55만원,1인실
더 하임 쉐어하우스,청담점,여성전용,20만원,57만원,1인실
우주,27호점,여성전용,96만원,40만원,2인실
복덕방,청담동1호점,여성전용,90만원,43만원,2인실
하피스,학동역점,여성전용,100만원,62만원,1인실
양드레하우스,강남점,여성전용,100만원,45만원,1인실
(남성전용)라임 스페이스,반포점,남성전용,100만원,41만원,2인실
하비비 하우스,신논현점,남성전용,100만원,54만원,1인실
MDP 쉐어하우스,신논현점,여성전용,60만원,50만원,2인실
(남성전용)라임 스페이스,신논현점,남성전용,50만원,41만원,2인실
오플랫 쉐어하우스,오플랫 신논현점,여성전용,100만원,55만원,1인실
젤리 쉐어하우스,청담점,여성전용,600만원,43만원,1인실
제이 쉐어하우스,세종대점,여성전용,42만원,42만원,2인실
잠자리,신림 : 4호점,여성전용,76만원,38만원,2인실
동그라미 쉐어하우스,학동역점,남성전용,50만원,43만원,1인실
여기쯤 쉐어하우스,여기쯤 논현2호점,여성전용,80만원,34만원,2인실
쉐어하우스 더뮤즈,강남구청점,여성전용,86만원,43만원,2인실
동네친구,8호점,여성전용,72만원,36만원,3인실
슈니하우스,건대 2호점,여성전용,50만원,33만원,3인실
세이프헤븐,이수점,여성전용,100만원,35만원,1인실
복덕방,청담사거리점,여성전용,100만원,44만원,2인실
포도 쉐어하우스,신논현점,남성전용,70만원,31만원,2인실
편안한家 쉐어하우스,건대점,여성전용,90만원,40만원,1인실
청춘가,서울대입구 3호점,여성전용,98만원,49만원,2인실
잠자리,신림 : 2호점,여성전용,90만원,45만원,1인실
동네친구,4호점,여성전용,64만원,32만원,4인실
팸하우스,세종대점,여성전용,100만원,34만원,2인실
우리집,건대_세종대점,여성전용,100만원,52만원,2인실
원더우먼 쉐어하우스,건대점,여성전용,129만원,43만원,2인실
슬리퍼 쉐어하우스,대학동점,여성전용,94만원,42만원,1인실
품안의 새,스위티_서울대입구역 1인실 ImQ,여성전용,90만원,45만원,1인실
품안의 새,핏타팻_서울대입구역 Room ImH,여성전용,92만원,46만원,1인실
원더우먼 쉐어하우스,니케 하우스 Room C,여성전용,70만원,35만원,2인실
포그니 쉐어하우스,서울대입구역점,여성전용,100만원,35만원,2인실
잠자리,서울대입구(3) : 25호점,여성전용,96만원,48만원,1인실
슈니하우스,건대점,여성전용,50만원,32만원,2인실
쉐어하우스 이층집,신림역 1호점,여성전용,100만원,28만원,1인실
동네친구,10호점,남성전용,100만원,37만원,3인실
잠자리,신대방 : 6호점,남성전용,90만원,47만원,1인실
쉐어필링스,신대방역점,남성전용,74만원,37만원,2인실
동네친구,13호점,남성전용,100만원,41만원,2인실
모니카 하우스,광진1호점,여성전용,100만원,53만원,1인실
