업체명,지점명,성별전용,보증금,월세,인실
The Knot(더 노트),홍대점,여성전용,90만원,38만원,2인실
에이블하우스,신촌 1호점,여성전용,300만원,55만원,1인실
외갓집에가자 쉐어하우스,덕성여대점,여성전용,100만원,50만원,1인실
우주,24호점,남성전용,80만원,32만원,3인실
아띠 쉐어빌리지,앙디 하우스 RoomA,성별무관,50만원,46만원,1인실
자다,브라운 서울역점,여성전용,84만원,42만원,2인실
행복하셰어,홍대점,여성전용,45만원,45만원,1인실
동거동락,25호 공덕점,여성전용,126만원,54만원,1인실
아띠 쉐어빌리지,단짠하우스 성신여대점,여성전용,100만원,48만원,1인실
동거동락,5호 서울역점,여성전용,112만원,53만원,1인실
포근해 쉐어하우스,홍대점,여성전용,45만원,45만원,1인실
GROUND 쉐어하우스,홍대 05 A room,여성전용,80만원,39만원,4인실
GROUND 쉐어하우스,홍대 B room,여성전용,100만원,48만원,2인실
하늘,수유역1호점,여성전용,50만원,37만원,1인실
포근해 쉐어하우스,마포구청점,여성전용,47만원,47만원,1인실
하우스로그,안암 3호점,여성전용,80만원,43만원,1인실
바다,상암동 DMC 집 A Room,여성전용,102만원,51만원,1인실
우주,60호점,여성전용,104만원,44만원,2인실
바다,서강대앞집 Room C (1인실),여성전용,110만원,55만원,1인실
더원 쉐어하우스,공덕역점,여성전용,100만원,45만원,1인실
메죵드몽드,안암점,여성전용,80만원,40만원,1인실
민우 쉐어하우스,동국대점,남성전용,80만원,42만원,1인실
우주,64호점,여성전용,124만원,54만원,1인실
동거동락,13호 서울역점,여성전용,114만원,53만원,1인실
디어(Dear) 쉐어하우스,합정점,여성전용,40만원,38만원,2인실
네잎클로버 하우스,원미닛_마포구청역 프리미엄,여성전용,106만원,53만원,1인실
자다,메리골드 후암1호점,여성전용,110만원,55만원,1인실
쉐어하우스 F,마포구청역 1호점,여성전용,104만원,52만원,1인실
함께꿈꾸는마을,남산소월01 Room B,남성전용,94만원,47만원,1인실
쉐어하우스 STAY,숙대입구점,여성전용,100만원,45만원,1인실
함께꿈꾸는마을,남산소월02 Room A,남성전용,98만원,49만원,1인실
플레몬 쉐어하우스,4호점,성별무관,50만원,55만원,1인실
애플트리 쉐어하우스,미아사거리역 1호점,여성전용,50만원,39만원,1인실
달램쉐어하우스,성신대고대2호점,여성전용,1000만원,29만원,1인실
동거동락,14호 동국대점,여성전용,113만원,53만원,1인실
함께꿈꾸는마을,남산소월03 Room C,여성전용,96만원,48만원,1인실
우주,54호점,여성전용,100만원,44만원,2인실
함께꿈꾸는마을,남산소월04 Room D,여성전용,80만원,40만원,2인실
바다,합정동집 3호 Room C (1인실),여성전용,110만원,55만원,1인실
바다,합정동집 1호 Room A (2인실),여성전용,86만원,43만원,2인실
하우스서울,서교망원점,여성전용,90만원,45만원,1인실
아미띠에 쉐어하우스,마포점,여성전용,50만원,50만원,1인실
애플트리 쉐어하우스,합정점,여성전용,45만원,45만원,1인실
더꿈 쉐어하우스,동국대점,여성전용,100만원,47만원,1인실
동거동락,32B호 상수역점,여성전용,109만원,45만원,2인실
애플트리 쉐어하우스,미아사거리역 2호점,남성전용,50만원,36만원,1인실
자다,세인트 숙대2호점,여성전용,78만원,39만원,3인실
자다,세인트 숙대1호점,여성전용,110만원,55만원,1인실
홈스케치,합정1호점,성별무관,90만원,45만원,1인실
홈스케치,합정2호점,여성전용,90만원,45만원,1인실
남산 하우스,남산(해방촌)점,여성전용,50만원,25만원,2인실
Urban square,청파점,여성전용,100만원,51만원,1인실
Joie de (쥬아드)셰어하우스,망원 2호점,남성전용,50만원,45만원,1인실
캑터스 하우스,망원점,남성전용,44만원,44만원,1인실
제인스하우스,공덕점,여성전용,60만원,30만원,3인실
셰어하우스 THE PLANET,망원점,여성전용,100만원,48만원,1인실
우주,56호점,여성전용,92만원,38만원,2인실
쉐어하우스 비비,마포 공덕점,여성전용,70만원,31만원,3인실
소담 쉐어하우스,효창 숙대입구점,여성전용,49만원,44만원,1인실
마주공간 쉐어하우스,고려대(안암)점,여성전용,100만원,35만원,2인실
캑터스 하우스,망원2호점,여성전용,45만원,45만원,1인실
마주봄 쉐어하우스,합정4호점,여성전용,100만원,37만원,1인실
마주봄 쉐어하우스,합정5호점,여성전용,100만원,50만원,1인실
드리밍 셰어하우스,마포구청점,남성전용,46만원,41만원,1인실
마주공간 쉐어하우스,합정역점,여성전용,80만원,39만원,2인실
쉐어하우스 F,합정점,여성전용,50만원,48만원,1인실
홈스케치,합정3호점,성별무관,96만원,48만원,1인실
쉐어하우스 소망,합정점,여성전용,100만원,48만원,1인실
마주봄 쉐어하우스,합정3호점,여성전용,100만원,41만원,1인실
바다,마포동집 Room D,여성전용,110만원,55만원,1인실
우주,101호점,여성전용,108만원,46만원,2인실
플레몬 쉐어하우스,16호점,여성전용,50만원,29만원,1인실
동거동락,20호 약수역점,여성전용,120만원,55만원,1인실
플레몬 쉐어하우스,17호점,성별무관,50만원,42만원,1인실
셰어하우스 허브,합정 1호점,여성전용,100만원,44만원,1인실
셰어하우스 허브,합정 2호점,여성전용,100만원,49만원,1인실
휘겔리 쉐어하우스,망원동점,여성전용,50만원,43만원,2인실
우주,59호점,여성전용,108만원,46만원,1인실
달램쉐어하우스,고려대7호점,여성전용,600만원,24만원,1인실
홈스케치,이태원2호점,성별무관,96만원,48만원,1인실
아리움 쉐어하우스,고대점,여성전용,76만원,38만원,2인실
가치살자 쉐어하우스,고려대역 1호점,여성전용,100만원,45만원,1인실
논스톱쉐어하우스,제기동점,성별무관,40만원,40만원,1인실
셰어하우스 인연,고대점,여성전용,50만원,50만원,1인실
동거동락,7호 제기동점,남성전용,93만원,43만원,1인실
홈스케치,고려대점,성별무관,90만원,45만원,1인실
쉐어하우스 힐링,이태원점,성별무관,0만원,39만원,1인실
굿밤a+,청량리역점,여성전용,100만원,40만원,1인실
바다,당산 한강 집 Room C,여성전용,84만원,42만원,2인실
함께꿈꾸는마을,왕십리행당 Room B,여성전용,80만원,40만원,2인실
플레몬 쉐어하우스,15호점,여성전용,30만원,35만원,4인실
루나스테이 쉐어하우스,경희대점,여성전용,100만원,40만원,2인실
휴먼,경희대점,여성전용,100만원,46만원,1인실
조이쉐어하우스,당산점,여성전용,70만원,35만원,1인실
에이블하우스,왕십리 3호점,여성전용,300만원,55만원,1인실
GROUND 쉐어하우스,왕십리 D room,여성전용,100만원,59만원,1인실
공간이음,경희대점,여성전용,100만원,45만원,1인실
에이블하우스,왕십리 1호점,여성전용,300만원,55만원,1인실
메종드이문,이문 1호점,여성전용,150만원,42만원,3인실
메종드이문,메종드이문2호점,여성전용,150만원,45만원,2인실
더 집 쉐어하우스,왕십리점,여성전용,88만원,44만원,1인실
하늘,광운대역점,여성전용,50만원,35만원,1인실
에이블하우스,왕십리 4호점,여성전용,300만원,45만원,2인실
하늘,광운대역2호점,여성전용,50만원,40만원,1인실
우주,47호점,여성전용,96만원,38만원,2인실
에이블하우스,회기 7호점,여성전용,300만원,41만원,2인실
양드레하우스,시립대점,여성전용,100만원,40만원,2인실
에이블하우스,회기 6호점,여성전용,300만원,45만원,1인실
아띠 쉐어빌리지,브루하우스 영등포구청역점,성별무관,50만원,53만원,1인실
에이블하우스,회기5호점,여성전용,300만원,42만원,2인실
우주,78호점,여성전용,108만원,46만원,2인실
에이블하우스,회기8호점,여성전용,300만원,54만원,1인실
동거동락,12호 외대경희대점,여성전용,114만원,50만원,1인실
우주,52호점,여성전용,88만원,36만원,3인실
함께꿈꾸는마을,동대문TEN Room B,여성전용,74만원,37만원,2인실
동거동락,9호 중앙대점,여성전용,108만원,50만원,1인실
동거동락,2호 중앙대점,남성전용,100만원,47만원,1인실
우주,57호점,여성전용,94만원,39만원,3인실
쉐어하우스 리시안,중앙대 1호 Room B,여성전용,100만원,47만원,1인실
하늘,석계점,여성전용,50만원,35만원,2인실
동거동락,18호 회기역점,여성전용,98만원,45만원,1인실
우리별 포디하우스,등촌별 3 룸1,남성전용,100만원,34만원,1인실
동거동락,16호 광운대점,여성전용,112만원,52만원,1인실
도란도란,외대점,여성전용,100만원,37만원,1인실
에이블하우스,성수 1호점,남성전용,300만원,36만원,3인실
아띠 쉐어빌리지,바우 하우스 RoomB,여성전용,50만원,45만원,1인실
우주,65호점,여성전용,124만원,54만원,1인실
우주,66호점,여성전용,98만원,41만원,2인실
쉐어하우스 STAY,상도점,여성전용,100만원,35만원,2인실
가든 쉐어하우스,태릉입구점,여성전용,80만원,35만원,1인실
지붕,태릉입구역점,여성전용,50만원,41만원,1인실
플레몬 쉐어하우스,5호점,여성전용,50만원,52만원,1인실
바다,문래동집 1호 Room B (2인실),여성전용,84만원,42만원,2인실
커먼타운,압구정229 Room C,여성전용,300만원,64만원,2인실
홈스케치,장안점,성별무관,80만원,37만원,1인실
지붕,태릉입구3호점,여성전용,50만원,42만원,1인실
우주,45호점,여성전용,114만원,49만원,1인실
셰어하우스 스토리,셰어 스토리 : 태릉역점,여성전용,100만원,27만원,2인실
쉐어하우스 티움,반포점,여성전용,0만원,0만원,2인실
우주,81호점,여성전용,92만원,38만원,1인실
모아,문래역점,여성전용,50만원,40만원,2인실
동거동락,4호 신사점,여성전용,106만원,51만원,1인실
GROUND 쉐어하우스,강남 Room D,여성전용,130만원,66만원,1인실
마주공간 쉐어하우스,논현2호점,여성전용,110만원,51만원,1인실
더핑크브릭,서울과기대점,여성전용,100만원,45만원,2인실
더원 쉐어하우스,신도림점,여성전용,150만원,53만원,1인실
동거동락,8호 논현점,여성전용,99만원,46만원,1인실
에이블하우스,성수 3호점,남성전용,300만원,53만원,1인실
품안의 새,인셉션_신대방3거리역 Room ImH,여성전용,80만원,40만원,1인실
쉐어하우스 미인,논현점,여성전용,80만원,40만원,2인실
제인스하우스,신도림점,여성전용,100만원,50만원,1인실
달램쉐어하우스,관악점,여성전용,600만원,27만원,1인실
양드레하우스,논현점,여성전용,100만원,55만원,1인실
쉐어하우스 하슈,서울대입구/숭실대점,성별무관,100만원,50만원,1인실
우주,90호점,여성전용,90만원,37만원,1인실
우주,91호점,여성전용,94만원,39만원,2인실
마주공간 쉐어하우스,강남(학동)점,여성전용,100만원,48만원,1인실
동거동락,24호 신논현점,여성전용,109만원,45만원,1인실
양드레하우스,신논현점,여성전용,100만원,57만원,1인실
양드레하우스,신논현2호점,여성전용,100만원,53만원,1인실
동거동락,10호 건국대점,여성전용,112만원,52만원,1인실
양드레하우스,강남2호점,여성전용,100만원,33만원,2인실
하메 쉐어하우스,목동점,여성전용,100만원,49만원,1인실
동거동락,19호 서울대입구점,여성전용,108만원,50만원,1인실
셰어하우스 쉼,서울대입구역점,여성전용,100만원,52만원,1인실
동거동락,21호 청담점,여성전용,112만원,46만원,1인실
쉐어하우스 STAY,건대입구점,여성전용,100만원,43만원,1인실
쉐어하우스 리시안,이수역 1호 Room C,여성전용,100만원,44만원,1인실
네잎클로버 하우스,투미닛_봉천역 1인실(프리미엄),여성전용,96만원,48만원,1인실
그린,엔틱 하우스 ROOM 1,여성전용,100만원,48만원,1인실
쉐어하우스 이층집,건대역 2호점,여성전용,100만원,46만원,1인실
그린,서울대입구역 2호점,여성전용,100만원,48만원,1인실
JAMI 쉐어하우스,대림점,여성전용,100만원,43만원,1인실
그래,군자 대학가점,남성전용,110만원,45만원,1인실
우주,29호점,여성전용,110만원,47만원,1인실
우주,32호점,남성전용,90만원,37만원,2인실
스테이영 쉐어하우스,서울대입구점,여성전용,50만원,39만원,2인실
동거동락,15호 서울대입구역점,여성전용,120만원,54만원,1인실
그린,서울대입구역점,여성전용,100만원,45만원,1인실
셰어하우스 쉼,봉천역점,여성전용,100만원,52만원,1인실
포그니 쉐어하우스,신림역점,여성전용,35만원,35만원,2인실
달램쉐어하우스,신대방점,여성전용,600만원,27만원,1인실
우주,63호점,여성전용,108만원,46만원,1인실
품안의 새,어번_신림역 Room ImL,여성전용,80만원,40만원,2인실
품안의 새,쎄라픽_봉천역 Room ImQ,여성전용,90만원,45만원,1인실
함께꿈꾸는마을,군자대공원 Room B,여성전용,74만원,37만원,2인실
에이블하우스,관악 2호점,여성전용,300만원,55만원,1인실
에이블하우스,관악 4호점,여성전용,300만원,55만원,1인실
이든 쉐어하우스,청담역점,여성전용,100만원,41만원,3인실
우주,30호점,여성전용,86만원,35만원,2인실
우주,33호점,여성전용,102만원,43만원,2인실
우주,51호점,여성전용,94만원,39만원,2인실
우주,31호점,여성전용,106만원,45만원,1인실
우주,28호점,남성전용,104만원,44만원,1인실
에이블하우스,관악 3호점,여성전용,300만원,55만원,1인실
올리브 쉐어하우스,신림역 1호점,여성전용,90만원,43만원,1인실
지붕,뚝섬유원지역점,여성전용,50만원,42만원,2인실
동거동락,23호 서울대입구역점,여성전용,116만원,50만원,1인실
설렘 쉐어하우스,신림역점,여성전용,92만원,46만원,1인실
행복하셰어,역삼점,여성전용,100만원,53만원,1인실
동거동락,6호 군자점,여성전용,109만원,51만원,1인실
쉐어하우스 리시안,사당역 2호 Room C,여성전용,100만원,52만원,1인실
동거동락,11호 서울대점,여성전용,107만원,50만원,1인실
미카사 하우스,1호 봉천 1인실(1),여성전용,120만원,51만원,1인실
세기 하우스,봉천점,여성전용,80만원,40만원,1인실
쉐어하우스 리시안,사당역 3호(오픈) Room B,여성전용,100만원,52만원,1인실
우주,18호점,여성전용,80만원,33만원,3인실
양드레하우스,군자2호점,여성전용,100만원,52만원,1인실
쉐어하우스 STAY,건대1호점,여성전용,100만원,33만원,2인실
쉐어하우스 루트,방배점,여성전용,100만원,50만원,1인실
방배웰빙쉐어하우스,사당역 2호점,여성전용,70만원,42만원,1인실
양드레하우스,교대점,여성전용,100만원,54만원,1인실
바다,구디(구로디지털)집 D Room,여성전용,100만원,50만원,1인실
연남0123/사당0123,사당0123 2인실,여성전용,70만원,36만원,2인실
동거동락,30호점,여성전용,124만원,52만원,1인실
동거동락,28C 방배점,여성전용,120만원,52만원,1인실
동거동락,28A 방배점,남성전용,121만원,52만원,1인실
동거동락,28B 방배점,여성전용,120만원,52만원,1인실
쉐어하우스 소소한,서초 1호점,여성전용,100만원,43만원,3인실
양드레하우스,역삼점,여성전용,100만원,55만원,1인실
양드레하우스,강남그랜드점,여성전용,150만원,52만원,1인실
아띠 쉐어빌리지,핑크하우스 Room B,성별무관,50만원,46만원,1인실
마주봄 쉐어하우스,양재2호점,여성전용,100만원,47만원,1인실
다락,블랑하우스 Room A,남성전용,50만원,39만원,1인실
애플트리 쉐어하우스,선릉&한티점,남성전용,50만원,45만원,1인실
팸하우스,양재점,여성전용,100만원,46만원,1인실
우주,76호점,여성전용,120만원,52만원,1인실
함께꿈꾸는마을,강남대청 Room B,여성전용,110만원,55만원,1인실
양드레하우스,송파2호점,여성전용,100만원,51만원,1인실
양드레하우스,송파점,여성전용,100만원,53만원,1인실
양드레하우스,석촌점,여성전용,100만원,40만원,2인실
링스하우스,가톨릭대점,여성전용,100만원,43만원,1인실
함께꿈꾸는마을,송파문정마을02 ROOM C,여성전용,104만원,52만원,1인실
라떼의꿈 쉐어하우스,부평점,여성전용,80만원,40만원,1인실
한송 셰어하우스,연신내역점,여성전용,60만원,44만원,1인실
동거동락,17호 경복궁역점,여성전용,97만원,44만원,2인실
동거동락,29B 연대동문점,여성전용,106만원,43만원,2인실
동거동락,29A 연대동문점,여성전용,123만원,51만원,1인실
노란숲,혜화 성대입구점,여성전용,150만원,48만원,1인실
동거동락,33B호점,여성전용,108만원,46만원,1인실
동거동락,27호점,여성전용,119만원,50만원,1인실
우주,72호점,남성전용,84만원,34만원,1인실
조이쉐어하우스,대학로점,여성전용,100만원,50만원,1인실
우주,71호점,여성전용,102만원,43만원,1인실
우주,70호점,남성전용,90만원,37만원,1인실
우주,67호점,여성전용,86만원,35만원,1인실
동거동락,31D호점,여성전용,113만원,48만원,1인실
동거동락,31C호점,여성전용,116만원,50만원,1인실
동거동락,31A호점,여성전용,118만원,51만원,1인실
아띠 쉐어빌리지,팝 하우스 충정로점,남성전용,50만원,35만원,1인실
홈스케치,아현2호점,여성전용,90만원,45만원,1인실
넘버원 쉐어하우스,이대점,여성전용,100만원,45만원,1인실
온더로드 쉐어하우스,대학로점,여성전용,102만원,45만원,1인실
프리모,신촌이대점,여성전용,0만원,0만원,3인실
바다,연남동 : 2호 D Room,여성전용,100만원,50만원,1인실
홈스케치,이대2호점,성별무관,90만원,45만원,1인실
자다,한성대_성대점,여성전용,100만원,50만원,1인실
우주,92호점,여성전용,102만원,43만원,1인실
우주,53호점,여성전용,100만원,42만원,1인실
엘르빌 셰어하우스,연남동점,여성전용,45만원,40만원,2인실
동거동락,3호 연세대점,여성전용,0만원,0만원,1인실
쉐어하우스 보통,아현 3호점,여성전용,110만원,55만원,1인실
하루 쉐어하우스,신촌점,여성전용,48만원,48만원,1인실
바다,상암동 집 Room C,여성전용,90만원,45만원,2인실
플레몬 쉐어하우스,26호점,성별무관,45만원,45만원,1인실
아띠 쉐어빌리지,소녀하우스 RoomC,여성전용,50만원,48만원,1인실
아띠 쉐어빌리지,컬러하우스 창천동점,여성전용,50만원,34만원,2인실
자다,메이플 성신여대점,여성전용,96만원,48만원,1인실
홈스케치,홍대1호점,성별무관,96만원,48만원,1인실
윤쉐어하우스,연남점,여성전용,94만원,47만원,1인실
동거동락,26호 연남동점,여성전용,116만원,49만원,1인실
동거동락,22호 홍대입구역점,여성전용,114만원,52만원,1인실
홈스케치,홍대2호점,성별무관,90만원,45만원,1인실
우주,55호점,여성전용,92만원,36만원,2인실
홈스케치,서강대점,남성전용,90만원,40만원,1인실
동거동락,5호 서울역점,여성전용,92만원,43만원,1인실
바다,상암동 DMC 집 C Room,여성전용,102만원,51만원,1인실
우주,60호점,여성전용,120만원,52만원,1인실
더원 쉐어하우스,공덕역점,여성전용,150만원,59만원,1인실
메죵드몽드,안암점,여성전용,76만원,38만원,2인실
민우 쉐어하우스,동국대점,남성전용,80만원,42만원,1인실
우주,64호점,여성전용,100만원,42만원,2인실
동거동락,13호 서울역점,여성전용,116만원,54만원,1인실
바다,성산동집 201호,성별무관,300만원,55만원,1인실
자다,메리골드 후암1호점,여성전용,84만원,42만원,2인실
쉐어하우스 STAY,숙대입구점,여성전용,100만원,45만원,1인실
함께꿈꾸는마을,남산소월02 Room C,남성전용,98만원,49만원,1인실
동거동락,14호 동국대점,여성전용,117만원,55만원,1인실
함께꿈꾸는마을,남산소월03 Room A,여성전용,96만원,48만원,1인실
더꿈 쉐어하우스,동국대점,여성전용,100만원,49만원,1인실
동거동락,32B호 상수역점,여성전용,121만원,51만원,1인실
자다,세인트 숙대2호점,여성전용,92만원,46만원,1인실
자다,세인트 숙대1호점,여성전용,110만원,55만원,1인실
포레스트(FOR REST),공덕역점,여성전용,120만원,55만원,1인실
Urban square,청파점,여성전용,100만원,51만원,1인실
제인스하우스,공덕점,여성전용,50만원,26만원,4인실
우주,56호점,여성전용,90만원,37만원,2인실
쉐어하우스 비비,마포 공덕점,여성전용,98만원,49만원,1인실
마주공간 쉐어하우스,고려대(안암)점,여성전용,100만원,44만원,1인실
마주봄 쉐어하우스,합정4호점,여성전용,100만원,45만원,1인실
마주봄 쉐어하우스,합정5호점,여성전용,100만원,41만원,1인실
홈스케치,합정3호점,성별무관,96만원,48만원,1인실
마주봄 쉐어하우스,합정3호점,여성전용,100만원,46만원,1인실
청년 쉐어하우스,합정점,남성전용,70만원,70만원,1인실
바다,마포동집 Room E,여성전용,88만원,44만원,2인실
동거동락,20호 약수역점,여성전용,119만원,54만원,1인실
휘겔리 쉐어하우스,망원동점,남성전용,50만원,43만원,2인실
쉐어하우스 하루,고려대점,여성전용,48만원,48만원,1인실
마주봄 쉐어하우스,고대 7호점,여성전용,100만원,50만원,1인실
아리움 쉐어하우스,고대점,여성전용,98만원,49만원,1인실
달램쉐어하우스,고대1호점,여성전용,600만원,29만원,1인실
셰어하우스 인연,고대점,여성전용,55만원,55만원,1인실
동거동락,7호 제기동점,남성전용,101만원,47만원,1인실
홈스케치,고려대점,성별무관,90만원,45만원,1인실
쉐어하우스 힐링,이태원점,성별무관,10만원,33만원,1인실
바다,당산 한강 집 Room D,여성전용,114만원,57만원,1인실
자다,패밀리 한남점,여성전용,76만원,38만원,2인실
조이쉐어하우스,당산점,여성전용,84만원,42만원,1인실
GROUND 쉐어하우스,왕십리 C room,여성전용,100만원,54만원,1인실
공간이음,경희대점,여성전용,100만원,38만원,2인실
메종드이문,메종드이문2호점,여성전용,150만원,53만원,1인실
하늘,광운대역2호점,여성전용,50만원,35만원,2인실
양드레하우스,시립대점,여성전용,100만원,43만원,2인실
우주,78호점,여성전용,102만원,43만원,2인실
동거동락,12호 외대경희대점,여성전용,116만원,51만원,1인실
우주,52호점,여성전용,112만원,48만원,1인실
함께꿈꾸는마을,동대문TEN Room D,여성전용,110만원,55만원,1인실
우주,58호점,여성전용,90만원,37만원,2인실
우주,80호점,여성전용,114만원,49만원,1인실
동거동락,1호 중앙대점,여성전용,106만원,50만원,1인실
동거동락,9호 중앙대점,여성전용,96만원,44만원,2인실
우주,57호점,여성전용,114만원,49만원,1인실
동거동락,18호 회기역점,여성전용,78만원,35만원,2인실
커먼타운,압구정 022 Room B,여성전용,300만원,44만원,4인실
동거동락,16호 광운대점,여성전용,96만원,44만원,1인실
도란도란,외대점,여성전용,100만원,37만원,1인실
쉐어하우스 STAY,상도점,여성전용,100만원,47만원,1인실
가든 쉐어하우스,태릉입구점,여성전용,80만원,35만원,1인실
제인스하우스,문래점,여성전용,60만원,30만원,2인실
바다,문래동집 1호 Room D (1인실),여성전용,106만원,53만원,1인실
바다,문래동집 2호 Room D,여성전용,110만원,55만원,1인실
커먼타운,압구정229 Room G,여성전용,300만원,74만원,2인실
홈스케치,장안점,성별무관,76만원,38만원,2인실
우주,45호점,여성전용,116만원,50만원,1인실
동거동락,4호 신사점,여성전용,94만원,44만원,2인실
GROUND 쉐어하우스,강남 Room C,여성전용,130만원,66만원,1인실
로뎀나무,Joy하우스 논현점,여성전용,100만원,41만원,1인실
더원 쉐어하우스,신도림점,여성전용,150만원,59만원,1인실
동거동락,8호 논현점,여성전용,113만원,53만원,1인실
양드레하우스,논현점,여성전용,100만원,55만원,1인실
쉐어하우스 하슈,서울대입구/숭실대점,성별무관,80만원,40만원,2인실
LUMOS HOUSE,논현1호점,여성전용,100만원,60만원,1인실
우주,91호점,여성전용,114만원,49만원,1인실
양드레하우스,강남점,여성전용,100만원,40만원,2인실
동거동락,24호 신논현점,여성전용,121만원,51만원,1인실
동거동락,10호 건국대점,여성전용,110만원,51만원,1인실
동거동락,19호 서울대입구점,여성전용,117만원,54만원,1인실
동거동락,21호 청담점,여성전용,116만원,53만원,1인실
쉐어하우스 STAY,건대입구점,여성전용,100만원,45만원,1인실
쉐어하우스 이층집,건대역 2호점,여성전용,100만원,46만원,1인실
동거동락,15호 서울대입구역점,여성전용,120만원,54만원,1인실
우주,63호점,여성전용,114만원,49만원,1인실
우주,51호점,여성전용,90만원,37만원,2인실
우주,83호점,남성전용,106만원,45만원,1인실
동거동락,23호 서울대입구역점,여성전용,111만원,47만원,1인실
동거동락,6호 군자점,여성전용,112만원,53만원,1인실
동거동락,11호 서울대점,여성전용,95만원,44만원,2인실
